order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price
1703458,2019-10-17,14004,Jakarta Selatan,DKI Jakarta,P1910,BRAND_J,10,740000
1706815,2019-10-24,17220,Jakarta Selatan,DKI Jakarta,P2934,BRAND_R,2,604000
1710718,2019-11-03,16518,Jakarta Utara,DKI Jakarta,P0908,BRAND_C,8,1045000
1683592,2019-08-19,16364,Jakarta Barat,DKI Jakarta,P0128,BRAND_A,4,205000
1702573,2019-10-16,15696,Jakarta Timur,DKI Jakarta,P2968,BRAND_R,2,4475000
1672906,2019-07-16,12748,Jakarta Utara,DKI Jakarta,P0710,BRAND_C,4,520000
1711399,2019-11-04,16791,Jakarta Barat,DKI Jakarta,P0860,BRAND_C,1,1465000
1695367,2019-09-26,13069,Surakarta,Jawa Tengah,P3342,BRAND_S,2,205000
1741846,2019-12-30,16873,Jakarta Barat,DKI Jakarta,P3203,BRAND_S,32,450000
1720189,2019-11-24,14723,Tangerang,Banten,P1701,BRAND_H,2,149000
1683583,2019-08-19,13814,Denpasar,Bali,P2864,BRAND_R,6,1045000
1693309,2019-09-19,17841,Jakarta Utara,DKI Jakarta,P1798,BRAND_H,1,604000
1708381,2019-10-29,13895,Tangerang,Banten,P2074,BRAND_L,3,2200000
1705093,2019-10-21,16999,Jakarta Utara,DKI Jakarta,P2521,BRAND_P,4,1745000
1734790,2019-12-18,17422,Jakarta Selatan,DKI Jakarta,P0122,BRAND_A,12,695000
1678960,2019-08-05,14552,Tangerang,Banten,P3482,BRAND_S,1,904000
1668715,2019-07-04,13397,Surabaya,Jawa Timur,P1902,BRAND_J,10,740000
1714324,2019-11-11,14096,Surakarta,Jawa Tengah,P2022,BRAND_L,1,1748000
1669411,2019-07-07,15291,Jakarta Pusat,DKI Jakarta,P0931,BRAND_C,4,1395000
1731961,2019-12-13,13880,Bogor,Jawa Barat,P2853,BRAND_R,6,740000
1690672,2019-09-11,15786,Jakarta Selatan,DKI Jakarta,P3273,BRAND_S,12,520000
1709671,2019-10-31,14738,Bandung,Jawa Barat,P4080,BRAND_W,24,113000
1670806,2019-07-10,17651,Jakarta Pusat,DKI Jakarta,P1899,BRAND_J,10,740000
1703659,2019-10-17,12930,Yogyakarta,Yogyakarta,P1741,BRAND_H,6,1045000
1698916,2019-10-07,14110,Bogor,Jawa Barat,P0817,BRAND_C,12,520000
1668391,2019-07-04,15738,Jakarta Selatan,DKI Jakarta,P3409,BRAND_S,12,310000
1702162,2019-10-15,17450,Bogor,Jawa Barat,P3958,BRAND_W,96,607000
1721629,2019-11-26,16360,Bandung,Jawa Barat,P1879,BRAND_J,1,219000
1718260,2019-11-19,15856,Jakarta Utara,DKI Jakarta,P0456,BRAND_B,10,149000
1719550,2019-11-22,15028,Jakarta Selatan,DKI Jakarta,P3194,BRAND_S,18,1150000
1675705,2019-07-25,16316,Jakarta Timur,DKI Jakarta,P2560,BRAND_P,36,79000
1710385,2019-11-01,13689,Malang,Jawa Timur,P1900,BRAND_J,100,639000
1705585,2019-10-22,13979,Jakarta Pusat,DKI Jakarta,P3592,BRAND_S,3,1745000
1689703,2019-09-09,13621,Jakarta Selatan,DKI Jakarta,P2789,BRAND_P,100,26000
1724590,2019-12-02,15719,Jakarta Barat,DKI Jakarta,P1892,BRAND_J,4,740000
1741561,2019-12-29,13521,Bandung,Jawa Barat,P3344,BRAND_S,2,520000
1715014,2019-11-12,16940,Jakarta Timur,DKI Jakarta,P4064,BRAND_W,4,303000
1697179,2019-10-01,14360,Yogyakarta,Yogyakarta,P2977,BRAND_R,4,1325000
1735633,2019-12-19,17096,Jakarta Selatan,DKI Jakarta,P3285,BRAND_S,4,1325000
1714633,2019-11-11,17757,Tangerang,Banten,P0491,BRAND_B,3,450000
1714369,2019-11-11,16729,Jakarta Utara,DKI Jakarta,P2102,BRAND_L,10,590000
1683103,2019-08-18,15506,Jakarta Pusat,DKI Jakarta,P2411,BRAND_P,1,113000
1688833,2019-09-05,13985,Bekasi,Jawa Barat,P3588,BRAND_S,12,695000
1716136,2019-11-14,14527,Depok,Jawa Barat,P2598,BRAND_P,3,695000
1719328,2019-11-21,15144,Jakarta Barat,DKI Jakarta,P1802,BRAND_H,8,1745000
1705150,2019-10-22,13514,Surabaya,Jawa Timur,P4075,BRAND_W,12,1045000
1725274,2019-12-03,17160,Jakarta Utara,DKI Jakarta,P3045,BRAND_R,12,450000
1707076,2019-10-25,18041,Bekasi,Jawa Barat,P1772,BRAND_H,1,240000
1729846,2019-12-10,17231,Bekasi,Jawa Barat,P3537,BRAND_S,2,1745000
1668991,2019-07-05,17797,Jakarta Selatan,DKI Jakarta,P1983,BRAND_L,1,2900000
1729615,2019-12-10,14725,Jakarta Utara,DKI Jakarta,P0737,BRAND_C,10,310000
1726822,2019-12-05,14096,Surakarta,Jawa Tengah,P0790,BRAND_C,1,1164000
1741513,2019-12-29,17936,Bekasi,Jawa Barat,P0794,BRAND_C,12,159000
1709704,2019-10-31,12923,Jakarta Timur,DKI Jakarta,P0171,BRAND_A,1,1325000
1700752,2019-10-10,18259,Malang,Jawa Timur,P0232,BRAND_A,12,450000
1705618,2019-10-22,13016,Surakarta,Jawa Tengah,P0303,BRAND_B,6,1045000
1702909,2019-10-16,16358,Jakarta Utara,DKI Jakarta,P0623,BRAND_B,10,695000
1731154,2019-12-12,14034,Jakarta Selatan,DKI Jakarta,P0170,BRAND_A,1,1325000
1699750,2019-10-08,15343,Yogyakarta,Yogyakarta,P0061,BRAND_A,2,3144000
1723432,2019-11-29,15453,Jakarta Selatan,DKI Jakarta,P1746,BRAND_H,2,289000
1701385,2019-10-11,18055,Jakarta Selatan,DKI Jakarta,P0002,BRAND_A,4,904000
1672786,2019-07-16,15507,Tangerang,Banten,P1771,BRAND_H,5,240000
1689334,2019-09-06,15249,Bekasi,Jawa Barat,P2094,BRAND_L,20,590000
1739824,2019-12-26,16496,Jakarta Timur,DKI Jakarta,P2770,BRAND_P,12,747000
1729900,2019-12-11,13297,Bogor,Jawa Barat,P1686,BRAND_H,72,376000
1706131,2019-10-23,14649,Jakarta Utara,DKI Jakarta,P0898,BRAND_C,1,740000
1722046,2019-11-27,15576,Bogor,Jawa Barat,P2447,BRAND_P,96,884000
1698076,2019-10-03,17634,Jakarta Selatan,DKI Jakarta,P1786,BRAND_H,2,1745000
1737007,2019-12-22,14093,Jakarta Pusat,DKI Jakarta,P1730,BRAND_H,1,450000
1679029,2019-08-05,17340,Tangerang,Banten,P0170,BRAND_A,4,1325000
1681642,2019-08-13,17419,Jakarta Selatan,DKI Jakarta,P4017,BRAND_W,4,1325000
1711783,2019-11-05,13517,Bogor,Jawa Barat,P1744,BRAND_H,4,1465000
1698730,2019-10-06,15502,Jakarta Pusat,DKI Jakarta,P0588,BRAND_B,2,5945000
1675915,2019-07-26,16317,Jakarta Selatan,DKI Jakarta,P3222,BRAND_S,2,2200000
1680688,2019-08-11,14013,Jakarta Barat,DKI Jakarta,P2555,BRAND_P,6,904000
1694569,2019-09-25,12477,Denpasar,Bali,P3077,BRAND_R,12,590000
1699813,2019-10-08,16279,Jakarta Pusat,DKI Jakarta,P2794,BRAND_P,2,747000
1734109,2019-12-17,16474,Jakarta Selatan,DKI Jakarta,P3591,BRAND_S,2,740000
1707676,2019-10-27,16930,Malang,Jawa Timur,P0735,BRAND_C,10,310000
1694182,2019-09-22,16686,Bogor,Jawa Barat,P3008,BRAND_R,1,1745000
1708720,2019-10-30,17511,Tangerang,Banten,P3933,BRAND_W,12,2200000
1726474,2019-12-04,15531,Bogor,Jawa Barat,P1674,BRAND_H,1,747000
1740889,2019-12-27,13780,Jakarta Timur,DKI Jakarta,P3589,BRAND_S,3,1465000
1667545,2019-07-02,16081,Jakarta Utara,DKI Jakarta,P1742,BRAND_H,12,590000
1723444,2019-11-29,18022,Jakarta Selatan,DKI Jakarta,P0132,BRAND_A,1,205000
1688422,2019-09-03,16053,Yogyakarta,Yogyakarta,P0519,BRAND_B,8,310000
1712479,2019-11-06,16753,Surakarta,Jawa Tengah,P0156,BRAND_A,1,2095000
1710577,2019-11-01,17509,Bekasi,Jawa Barat,P3128,BRAND_S,12,450000
1727281,2019-12-06,15965,Tangerang,Banten,P0122,BRAND_A,1,695000
1741570,2019-12-29,17827,Jakarta Barat,DKI Jakarta,P0098,BRAND_A,1,1325000
1740880,2019-12-27,16426,Jakarta Pusat,DKI Jakarta,P0085,BRAND_A,2,450000
1695451,2019-09-26,14298,Yogyakarta,Yogyakarta,P2715,BRAND_P,24,904000
1713310,2019-11-07,18160,Malang,Jawa Timur,P3215,BRAND_S,6,1325000
